PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 H0_RAW_spectral_flatness,H0 H0_FILTERED_spectral_centroid_hz,H0 H0_FILTERED_time_to_secondary_peak_ms,H0 H0_RAW_rise_time_ms,H0 H0_RAW_spectral_centroid_hz,H0 H0_FILTERED_rise_time_ms,H0 H0_FILTERED_fwhm_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H1 RAW_spectral_centroid_hz,H1 FILTERED_rise_time_ms,H1 FILTERED_fwhm_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H2 RAW_spectral_centroid_hz,H2 FILTERED_rise_time_ms,H2 FILTERED_fwhm_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms,H3 RAW_spectral_centroid_hz,H3 FILTERED_rise_time_ms,H3 FILTERED_fwhm_ms
H0_Closest_0FT_epoch_31,H0,0FT,True,0,True,1.2945608817499998,True,VALID,True,1.0,0.23474884,32043.275932573964,9.7984,0.6412800000000001,64186.58552781875,0.96768,3.69536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_32,H0,0FT,True,0,True,0.30925272175,True,VALID,True,0.96,0.2787553,31982.62967346927,20.73856,0.24832,71342.40475494842,0.34944000000000003,0.68224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_33,H0,0FT,True,0,True,1.44421336175,True,VALID,True,1.0,0.2085756,31991.561777094903,6.27072,0.0,39387.62342520811,3.83488,3.85024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_34,H0,0FT,True,0,True,0.66512728175,True,VALID,True,1.0,0.2289198,32054.921828418435,8.607999999999999,4.192,63765.10615387946,0.448,3.7888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_35,H0,0FT,True,0,True,1.78511064175,True,VALID,True,1.0,0.21993765,32091.354328008485,7.23712,2.2515199999999997,62301.13282341663,3.81312,3.8246399999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_36,H0,0FT,True,0,True,0.9594620017500001,True,VALID,True,1.0,0.22810185,32053.754816005945,6.21312,2.27712,63993.67068592525,3.81056,3.81184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_37,H0,0FT,False,0,True,0.011943281750000001,False,TOO_EARLY,True,1.0,0.21410948,32032.78808414768,16.75776,4.22272,61503.45380395532,0.4672,1.19296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_38,H0,0FT,True,0,True,1.20707672175,True,VALID,True,1.0,0.28846598,31922.948416202646,2.34624,0.43263999999999997,72443.68049786628,0.5056,0.73216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_39,H0,0FT,True,0,True,0.31966168175000004,True,VALID,True,1.0,0.24516578,31983.947386128722,7.7696,0.192,66219.68677587992,0.44927999999999996,3.8617600000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_4,H0,0FT,True,0,True,0.25581272175,True,VALID,True,1.0,0.2574605,32008.932500424085,18.2336,4.209919999999999,68208.5028948762,0.44672,0.4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
