PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 RAW_spectral_flatness,H0 FILTERED_spectral_centroid_hz,H0 FILTERED_time_to_secondary_peak_ms,H0 RAW_rise_time_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms
H0_Closest_0FT_epoch_2,H0,0FT,True,0,True,0.10498264175000001,True,VALID,True,0.95,0.22280328,32021.79890292145,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_20,H0,0FT,True,0,True,0.51252440175,True,VALID,True,0.99,0.26907226,32037.364724212035,4.3264000000000005,2.8544,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_21,H0,0FT,True,0,True,1.68543704175,True,VALID,True,0.97,0.25384018,32071.59105921636,0.45952,0.14848,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_22,H0,0FT,True,0,True,0.88400216175,True,VALID,True,0.97,0.29429814,32027.98953466495,0,0.14336000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_23,H0,0FT,False,0,True,0.04906712175,False,TOO_EARLY,True,0.96,0.287196,32012.02880405185,0.5363199999999999,0.15488000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_24,H0,0FT,True,0,True,1.28287960175,True,VALID,True,0.96,0.27457923,32068.59498419214,7.0656,4.42624,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_25,H0,0FT,True,0,True,0.46563800175000003,True,VALID,True,0.86,0.3108447,31972.163079963146,0.43008,0.14976,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_26,H0,0FT,True,0,True,1.6436207217499998,True,VALID,True,0.96,0.23710565,32028.17163310557,2.93504,1.77024,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_27,H0,0FT,True,0,True,0.83285976175,True,VALID,True,0.88,0.27188933,32008.091773170894,2.59072,0.6976,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_28,H0,0FT,True,0,True,1.9131541617499999,True,VALID,True,0.91,0.2790015,31895.87386615365,0.8767999999999999,0.23807999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_29,H0,0FT,True,0,True,1.05645528175,True,VALID,True,0.99,0.23269781,32015.158318572983,1.92768,0.7872,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_3,H0,0FT,True,0,True,1.26848344175,True,VALID,True,0.92,0.28563604,31939.525013457795,0,0.15872,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_30,H0,0FT,False,0,True,0.056791921749999995,False,TOO_EARLY,True,0.99,0.2558069,32192.312947175018,7.392,4.33792,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_31,H0,0FT,True,0,True,1.2945608817499998,True,VALID,True,0.98,0.23474911,32043.275932573964,1.0944,0.6412800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_32,H0,0FT,True,0,True,0.30925272175,True,VALID,True,0.94,0.2787556,31982.62967346927,0.81152,0.24832,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_33,H0,0FT,True,0,True,1.44421336175,True,VALID,True,0.89,0.2085763,31991.561777094903,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_34,H0,0FT,True,0,True,0.66512728175,True,VALID,True,0.99,0.22892007,32054.921828418435,6.3744,4.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_35,H0,0FT,True,0,True,1.78511064175,True,VALID,True,0.98,0.21993786,32091.354328008485,4.4608,2.2515199999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_36,H0,0FT,True,0,True,0.9594620017500001,True,VALID,True,0.98,0.22810216,32053.754816005945,3.6608,2.27712,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_37,H0,0FT,False,0,True,0.011943281750000001,False,TOO_EARLY,True,0.97,0.21410973,32032.78808414768,6.5664,4.22272,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_38,H0,0FT,True,0,True,1.20707672175,True,VALID,True,0.94,0.28846672,31922.948416202646,1.47072,0.43263999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_39,H0,0FT,True,0,True,0.31966168175000004,True,VALID,True,0.98,0.2451657,31983.947386128722,0,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_4,H0,0FT,True,0,True,0.25581272175,True,VALID,True,0.91,0.2574612,32008.932500424085,7.0412799999999995,4.209919999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_40,H0,0FT,True,0,True,1.4645615217499999,True,VALID,True,0.93,0.22353466,32005.165282703994,0,0.18048,,,,,,,,,,,,,,,,,,,,,,,,,,,
