PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 PING_WIDTH,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 PING_WIDTH,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 PING_WIDTH,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 PING_WIDTH
H0_Closest_20FT_epoch_94,H0,20FT,True,0,True,1.56474840175,True,VALID,True,0.0112256,,,,,,,,,,,,,,,
H0_Closest_20FT_epoch_95,H0,20FT,True,0,True,0.67284824175,True,VALID,True,0.00641792,,,,,,,,,,,,,,,
H0_Closest_20FT_epoch_96,H0,20FT,False,0,True,1.97846232175,False,TOO_LATE,True,0.0135744,,,,,,,,,,,,,,,
H0_Closest_20FT_epoch_97,H0,20FT,True,0,True,1.1455304817499998,True,VALID,True,0.01161344,,,,,,,,,,,,,,,
H0_Closest_20FT_epoch_98,H0,20FT,True,0,True,0.33971928175000005,True,VALID,True,0.01316864,,,,,,,,,,,,,,,
H0_Closest_20FT_epoch_99,H0,20FT,True,0,False,1.26014680175,True,VALID,False,0.02359296,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_0,H0,30FT,True,0,False,0.38779480175000003,True,VALID,False,0.0372864,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_1,H0,30FT,True,0,False,0.99966040175,True,VALID,False,0.0361856,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_10,H0,30FT,True,0,False,1.82957912175,True,VALID,False,0.03480064,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_11,H0,30FT,True,0,True,0.75453912175,True,VALID,True,0.01360768,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_12,H0,30FT,True,0,False,1.2695484017499998,True,VALID,False,0.01910656,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_13,H0,30FT,True,0,True,0.36664536175,True,VALID,True,0.01022464,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_14,H0,30FT,True,0,False,1.46100312175,True,VALID,False,1.47519232,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_15,H0,30FT,True,0,False,0.64891736175,True,VALID,False,0.01648,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_16,H0,30FT,True,0,True,1.87818072175,True,VALID,True,0.01299328,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_17,H0,30FT,True,0,True,0.83688920175,True,VALID,True,0.01350144,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_18,H0,30FT,False,0,False,0.09060824175000001,False,TOO_EARLY,False,0.01638144,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_19,H0,30FT,True,0,False,1.12655576175,True,VALID,False,0.01486592,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_2,H0,30FT,False,0,False,1.99866968175,False,TOO_LATE,False,0.01687424,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_20,H0,30FT,True,0,True,0.31570776175000004,True,VALID,True,0.0134464,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_21,H0,30FT,True,0,False,1.48603736175,True,VALID,False,0.01648896,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_22,H0,30FT,True,0,False,0.5264072817500001,True,VALID,False,0.0185216,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_23,H0,30FT,True,0,False,1.59006296175,True,VALID,False,0.01839872,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_24,H0,30FT,True,0,True,0.85123288175,True,VALID,True,0.01343616,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_25,H0,30FT,False,0,False,0.05008472175,False,TOO_EARLY,False,0.0355456,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_26,H0,30FT,True,0,False,1.18409688175,True,VALID,False,0.01748224,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_27,H0,30FT,True,0,True,0.30014424175000004,True,VALID,True,0.01330944,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_28,H0,30FT,True,0,False,1.54815320175,True,VALID,False,0.01833344,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_29,H0,30FT,True,0,False,0.61566424175,True,VALID,False,0.02132864,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_3,H0,30FT,True,0,False,0.5128341617500001,True,VALID,False,0.01920512,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_30,H0,30FT,True,0,False,1.67664344175,True,VALID,False,0.01497728,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_31,H0,30FT,True,0,True,0.71885784175,True,VALID,True,0.01310848,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_32,H0,30FT,True,0,False,1.92400856175,True,VALID,False,0.02235264,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_33,H0,30FT,True,0,False,1.02437592175,True,VALID,False,0.014848,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_34,H0,30FT,False,0,True,2.0153288817500004,False,TOO_LATE,True,0.01012736,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_35,H0,30FT,True,0,False,1.07245144175,True,VALID,False,0.01678592,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_36,H0,30FT,True,0,False,0.19270744174999999,True,VALID,False,0.01857664,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_37,H0,30FT,True,0,False,1.39548120175,True,VALID,False,0.020832,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_38,H0,30FT,True,0,True,0.46686808175000005,True,VALID,True,0.01278976,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_39,H0,30FT,True,0,False,1.70506584175,True,VALID,False,0.01868288,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_4,H0,30FT,True,0,False,1.1341564017499999,True,VALID,False,0.0361408,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_40,H0,30FT,True,0,False,0.8678754417500001,True,VALID,False,0.01760128,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_41,H0,30FT,True,0,False,1.81073624175,True,VALID,False,0.01794432,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_42,H0,30FT,True,0,True,0.97339608175,True,VALID,True,0.01341952,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_43,H0,30FT,True,0,True,0.11956952175,True,VALID,True,0.0131712,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_44,H0,30FT,True,0,False,1.37888600175,True,VALID,False,0.0184448,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_45,H0,30FT,True,0,False,0.37737560175,True,VALID,False,0.01963776,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_46,H0,30FT,True,0,False,1.59920984175,True,VALID,False,1.61519488,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_47,H0,30FT,True,0,True,0.74426072175,True,VALID,True,0.0135232,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_48,H0,30FT,True,0,False,1.95220056175,True,VALID,False,0.0242816,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_49,H0,30FT,True,0,False,1.1153186417499998,True,VALID,False,0.03568384,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_5,H0,30FT,True,0,False,1.87763928175,True,VALID,False,0.01805824,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_50,H0,30FT,False,0,False,0.08563288175,False,TOO_EARLY,False,0.01536128,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_51,H0,30FT,True,0,False,1.37885400175,True,VALID,False,0.01598336,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_52,H0,30FT,True,0,True,0.32574680175000004,True,VALID,True,0.01342848,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_53,H0,30FT,True,0,False,1.4150588017499999,True,VALID,False,0.02059008,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_54,H0,30FT,True,0,False,0.5218056817500001,True,VALID,False,0.01544192,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_55,H0,30FT,True,0,False,1.69970776175,True,VALID,False,0.02111616,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_56,H0,30FT,True,0,False,0.67804888175,True,VALID,False,0.01687424,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_57,H0,30FT,True,0,False,1.79218648175,True,VALID,False,0.01579904,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_58,H0,30FT,True,0,True,0.9548053617500001,True,VALID,True,0.01312256,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_59,H0,30FT,True,0,False,0.17124056175,True,VALID,False,0.0203456,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_6,H0,30FT,True,0,False,0.13675736175,True,VALID,False,0.02118272,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_60,H0,30FT,True,0,True,0.9596309617500001,True,VALID,True,0.01360768,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_61,H0,30FT,False,0,True,0.02187608175,False,TOO_EARLY,True,0.01198464,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_62,H0,30FT,True,0,False,1.19655128175,True,VALID,False,0.0193792,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_63,H0,30FT,True,0,False,0.12005080175,True,VALID,False,0.0147392,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_64,H0,30FT,True,0,False,1.31557720175,True,VALID,False,0.01543296,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_65,H0,30FT,True,0,False,0.43452760175000005,True,VALID,False,0.02086016,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_66,H0,30FT,True,0,True,1.71089880175,True,VALID,True,0.01021824,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_67,H0,30FT,True,0,False,0.52969304175,True,VALID,False,0.02404608,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_68,H0,30FT,True,0,False,1.8242044017499999,True,VALID,False,0.03519872,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_69,H0,30FT,True,0,True,0.96016728175,True,VALID,True,0.012672,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_7,H0,30FT,True,0,False,0.99326552175,True,VALID,False,0.03644928,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_70,H0,30FT,True,0,False,0.15197272174999998,True,VALID,False,0.02410496,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_71,H0,30FT,True,0,False,1.27895128175,True,VALID,False,0.020864,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_72,H0,30FT,True,0,False,0.54589784175,True,VALID,False,0.01965696,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_73,H0,30FT,True,0,False,1.69456984175,True,VALID,False,0.01632768,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_74,H0,30FT,True,0,False,0.85868888175,True,VALID,False,0.02067328,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_75,H0,30FT,False,0,False,0.0053653617499999995,False,TOO_EARLY,False,2.05604992,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_76,H0,30FT,True,0,False,1.29252952175,True,VALID,False,0.018464,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_77,H0,30FT,True,0,True,0.23890136174999999,True,VALID,True,0.01322752,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_78,H0,30FT,True,0,False,1.47940184175,True,VALID,False,0.01824512,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_79,H0,30FT,True,0,False,0.61604312175,True,VALID,False,0.016992,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_8,H0,30FT,True,0,False,1.75755736175,True,VALID,False,0.03802752,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_80,H0,30FT,True,0,False,1.7897314417499999,True,VALID,False,0.03504,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_81,H0,30FT,True,0,False,0.7345135217500001,True,VALID,False,0.01479936,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_82,H0,30FT,True,0,False,1.79699800175,True,VALID,False,0.01483776,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_83,H0,30FT,True,0,False,1.03899736175,True,VALID,False,0.02131968,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_84,H0,30FT,True,0,False,0.19744728174999998,True,VALID,False,0.01752576,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_85,H0,30FT,True,0,False,1.4026120817499999,True,VALID,False,0.01725056,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_86,H0,30FT,True,0,False,0.41030616175,True,VALID,False,0.016512,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_87,H0,30FT,True,0,False,1.60315352175,True,VALID,False,0.03482624,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_88,H0,30FT,True,0,False,0.35553368175000005,True,VALID,False,0.03444096,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_89,H0,30FT,True,0,False,1.54534744175,True,VALID,False,0.03456896,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_9,H0,30FT,True,0,False,0.74586840175,True,VALID,False,0.03518848,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_90,H0,30FT,True,0,False,0.71242840175,True,VALID,False,0.01759616,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_91,H0,30FT,True,0,False,1.92419160175,True,VALID,False,0.01920256,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_92,H0,30FT,True,0,True,0.76654808175,True,VALID,True,0.0139456,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_93,H0,30FT,False,0,False,0.04511320175,False,TOO_EARLY,False,0.01782528,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_94,H0,30FT,True,0,False,1.25495128175,True,VALID,False,0.01833088,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_95,H0,30FT,True,0,True,0.40118360175,True,VALID,True,0.00925056,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_96,H0,30FT,True,0,False,1.54223320175,True,VALID,False,0.0173376,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_97,H0,30FT,True,0,True,0.62306264175,True,VALID,True,0.01333504,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_98,H0,30FT,True,0,False,1.84632024175,True,VALID,False,0.03498752,,,,,,,,,,,,,,,
H0_Closest_30FT_epoch_99,H0,30FT,True,0,True,0.84601944175,True,VALID,True,0.01312,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_0,H0,40FT,True,0,True,1.3823816817499999,True,VALID,True,0.0120512,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_1,H0,40FT,True,0,True,0.33453144175000005,True,VALID,True,0.01362176,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_10,H0,40FT,False,0,False,0.02494680175,False,TOO_EARLY,False,2.06049152,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_11,H0,40FT,True,0,False,1.1721813617499999,True,VALID,False,0.0168832,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_12,H0,40FT,False,0,False,0.01198808175,False,TOO_EARLY,False,2.06291712,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_13,H0,40FT,True,0,True,1.16910040175,True,VALID,True,0.01114752,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_14,H0,40FT,True,0,True,0.10775384175000001,True,VALID,True,0.01372032,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_15,H0,40FT,True,0,False,1.3091004017499999,True,VALID,False,0.0167168,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_16,H0,40FT,True,0,False,0.44827224175,True,VALID,False,0.01597696,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_17,H0,40FT,True,0,False,1.6848188017499999,True,VALID,False,0.01518976,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_18,H0,40FT,True,0,False,0.84600920175,True,VALID,False,0.01555968,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_19,H0,40FT,True,0,False,1.87753816175,True,VALID,False,0.01500032,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_2,H0,40FT,True,0,True,1.38790360175,True,VALID,True,0.01389184,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_20,H0,40FT,True,0,False,0.94352984175,True,VALID,False,0.01845632,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_21,H0,40FT,True,0,True,0.15474136175,True,VALID,True,0.01285248,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_22,H0,40FT,True,0,False,1.27452760175,True,VALID,False,0.01480704,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_23,H0,40FT,True,0,False,0.20089688175,True,VALID,False,0.01828352,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_24,H0,40FT,True,0,True,1.35525208175,True,VALID,True,0.01151744,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_25,H0,40FT,True,0,True,0.59326040175,True,VALID,True,0.01369728,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_26,H0,40FT,True,0,False,1.8582703217499998,True,VALID,False,0.01700992,,,,,,,,,,,,,,,
