PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,ALL_VALID,H0 VALID,H1 VALID,H2 VALID,H3 VALID,H0 REASON,H1 REASON,H2 REASON,H3 REASON,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY,H0 NEARBY_VALID,H1 NEARBY_VALID,H2 NEARBY_VALID,H3 NEARBY_VALID,H0 DELTA_T,H1 DELTA_T,H2 DELTA_T,H3 DELTA_T
H0_Closest_20FT_epoch_27,,0,0.60268632175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02546432,,,
H0_Closest_20FT_epoch_28,,0,1.7526844017499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01350656,,,
H0_Closest_20FT_epoch_29,,0,0.87732184175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0250048,,,
H0_Closest_20FT_epoch_30,,0,1.9447804017499999,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.01264,,,
H0_Closest_20FT_epoch_31,,0,1.07121240175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0119104,,,
H0_Closest_20FT_epoch_32,,0,0.23101784175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0267264,,,
H0_Closest_20FT_epoch_33,,0,1.39123928175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01303936,,,
H0_Closest_20FT_epoch_34,,0,0.61566168175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01294208,,,
H0_Closest_20FT_epoch_35,,0,1.84535384175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.00887552,,,
H0_Closest_20FT_epoch_36,,0,0.87874392175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01210496,,,
H0_Closest_20FT_epoch_37,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,1.95621248,,,
H0_Closest_20FT_epoch_38,,0,1.06118616175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01128064,,,
H0_Closest_20FT_epoch_39,,0,0.21741272174999998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02590464,,,
H0_Closest_20FT_epoch_40,,0,1.39187288175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.025088,,,
H0_Closest_20FT_epoch_41,,0,0.46639064175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0258112,,,
H0_Closest_20FT_epoch_42,,0,1.74792664175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02432256,,,
H0_Closest_20FT_epoch_43,,0,0.97711576175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02406656,,,
H0_Closest_20FT_epoch_44,,0,2.01015512175,,,,False,False,,,,TOO_LATE,,,,True,,,,False,,,,0.01146496,,,
H0_Closest_20FT_epoch_45,,0,1.0535509617499998,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02502784,,,
H0_Closest_20FT_epoch_46,,0,0.25285592175000005,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01421568,,,
H0_Closest_20FT_epoch_47,,0,1.55531992175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01450368,,,
H0_Closest_20FT_epoch_48,,0,0.54902232175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0114752,,,
H0_Closest_20FT_epoch_49,,0,1.76327000175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0107648,,,
H0_Closest_20FT_epoch_50,,0,0.8739324017500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03840256,,,
H0_Closest_20FT_epoch_51,,0,7.512174999999999e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,2.05512832,,,
H0_Closest_20FT_epoch_52,,0,0.90079448175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02379264,,,
H0_Closest_20FT_epoch_53,,0,0.045627761749999995,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.02526208,,,
H0_Closest_20FT_epoch_54,,0,1.2453141617499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02359936,,,
H0_Closest_20FT_epoch_55,,0,0.43565016175000004,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01420672,,,
H0_Closest_20FT_epoch_56,,0,1.64551000175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01036288,,,
H0_Closest_20FT_epoch_57,,0,0.8239445617500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02236032,,,
H0_Closest_20FT_epoch_58,,0,7.512174999999997e-05,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,2.04614272,,,
H0_Closest_20FT_epoch_59,,0,0.98155096175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01276928,,,
H0_Closest_20FT_epoch_60,,0,0.19476568175,,,,True,True,,,,VALID,,,,False,,,,False,,,,2.07359744,,,
